Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,alternative term,antisymmetricProperty,correlatedWith,curator note,definition,definitionEditor,definitionSource,editorNote,editorPreferedTerm,elucidation,exampleOfUsage,expand assertion to,expandExpressionTo,first order logic expression,has associated axiom(fol),has associated axiom(nl),has axiom label,has ID digit count,has ID policy for,has ID prefix,has ID range allocated to,hasAge,hasCurationStatus,hasDiagnostic,hasFinances,hasGender,hasMaritalStatus,hasMinimalInformation,hasObsolescenceReason,hasPercentageDistribution,hasRace,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/prefixIRI,http://data.bioontology.org/metadata/treeView,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,http://purl.org/dc/elements/1.1/contributor,http://purl.org/dc/elements/1.1/coverage,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/date,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/format,http://purl.org/dc/elements/1.1/identifier,http://purl.org/dc/elements/1.1/language,http://purl.org/dc/elements/1.1/publisher,http://purl.org/dc/elements/1.1/relation,http://purl.org/dc/elements/1.1/rights,http://purl.org/dc/elements/1.1/source,http://purl.org/dc/elements/1.1/subject,http://purl.org/dc/elements/1.1/title,http://purl.org/dc/elements/1.1/type,http://purl.org/dc/terms/license,http://www.geneontology.org/formats/oboInOwl#created_by,http://www.geneontology.org/formats/oboInOwl#creation_date,importedFrom,in branch,is allocated id range,isDenotatorType,may be identical to,measures,OBO foundry unique label,ontology term requester,ro:locatedIn,ro:locationOf,ro:participatesIn,ro:partOf,scheduled for obsoletion on or after,term replaced by,term tracker item
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71492,Sampling Method,,,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19044,"Sampling Design
Sampling Technique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:C71492,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/IAO_8000007,curation subset ontology module,,A subset ontology that is intended as a whitelist for curators using the ontology. Such a subset will exclude classes that curators should not use for curation.,false,,,http://purl.obolibrary.org/obo/IAO_8000006,,,,,A subset ontology that is intended as a whitelist for curators using the ontology. Such a subset will exclude classes that curators should not use for curation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAO:8000007,,,,,,,,,,,,,,,,,,,cjm,2018-05-20T20:58:38Z,,,,,,,,,,,,,,,
http://purl.org/net/miCLIP#PercentageDistributionByOccupation,Percentage Distribution by Occupation,,,false,,,http://purl.org/net/miCLIP#PercentageDistribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip:PercentageDistributionByOccupation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.bioontology.org/ontology/MESH/D005500,Follow-Up Studies,,"Studies in which individuals or populations are followed to assess the outcome of exposures, procedures, or effects of a characteristic, e.g., occurrence of disease.",false,,,http://purl.bioontology.org/ontology/MESH/D008137,"Follow Up Studies
Follow-Up Study
Followup Studies
Followup Study
Studies, Follow-Up
Studies, Followup
Study, Follow-Up
Study, Followup",,,,"Studies in which individuals or populations are followed to assess the outcome of exposures, procedures, or effects of a characteristic, e.g., occurrence of disease.",,,,,,,,,,,,,,,,,,,,,,,,,,,,MESH:D005500,,,,,,,,,,,,,,,,,,,,,MeSH,,,,,,,,,,,,,,
http://purl.bioontology.org/ontology/CRISP/1579-2995,Communication Disorder,,"any of various disorders characterized by impaired verbal or nonverbal exchange or impaired transmission of thoughts, messages, or information.",false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Psychiatric_Disorder,,,,,"any of various disorders characterized by impaired verbal or nonverbal exchange or impaired transmission of thoughts, messages, or information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRISP,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41219,Native Hawaiian or Other Pacific Islander,,"Denotes a person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. The term covers particularly people who identify themselves as part-Hawaiian, Native Hawaiian, Guamanian or Chamorro, Carolinian, Samoan, Chuukese (Trukese), Fijian, Kosraean, Melanesian, Micronesian, Northern Mariana Islander, Palauan, Papua New Guinean, Pohnpeian, Polynesian, Solomon Islander, Tahitian, Tokelauan, Tongan, Yapese, or Pacific Islander, not specified.",false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17049,,,,,"Denotes a person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. The term covers particularly people who identify themselves as part-Hawaiian, Native Hawaiian, Guamanian or Chamorro, Carolinian, Samoan, Chuukese (Trukese), Fijian, Kosraean, Melanesian, Micronesian, Northern Mariana Islander, Palauan, Papua New Guinean, Pohnpeian, Polynesian, Solomon Islander, Tahitian, Tokelauan, Tongan, Yapese, or Pacific Islander, not specified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:C41219,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://purl.obolibrary.org/obo/IAO_0000030,information content entity,,,false,,,http://purl.obolibrary.org/obo/BFO_0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IAO:0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.bioontology.org/ontology/MESH/D016022,Case-Control Studies,,"Studies which start with the identification of persons with a disease of interest and a control (comparison, referent) group without the disease. The relationship of an attribute to the disease is examined by comparing diseased and non-diseased persons with regard to the frequency or levels of the attribute in each group.",false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25391,"Case Base Studies
Case Comparison Studies
Case Compeer Studies
Case Control Studies
Case Control Study
Case Referent Studies
Case Referrent Studies
Case-Base Studies
Case-Base Study
Case-Comparison Studies
Case-Comparison Study
Case-Compeer Studies
Case-Compeer Study
Case-Control Studies, Matched
Case-Control Studies, Nested
Case-Control Study
Case-Control Study, Matched
Case-Control Study, Nested
Case-Referent Studies
Case-Referent Study
Case-Referrent Studies
Case-Referrent Study
Matched Case Control Studies
Matched Case-Control Study
Nested Case Control Studies
Nested Case-Control Study
Studies, Case Control
Studies, Case-Base
Studies, Case-Comparison
Studies, Case-Compeer
Studies, Case-Control
Studies, Case-Referent
Studies, Case-Referrent
Studies, Matched Case-Control
Studies, Nested Case-Control
Study, Case Control
Study, Case-Base
Study, Case-Comparison
Study, Case-Compeer
Study, Case-Control
Study, Case-Referent
Study, Case-Referrent
Study, Matched Case-Control
Study, Nested Case-Control
Matched Case-Control Studies
Nested Case-Control Studies",,,,"Studies which start with the identification of persons with a disease of interest and a control (comparison, referent) group without the disease. The relationship of an attribute to the disease is examined by comparing diseased and non-diseased persons with regard to the frequency or levels of the attribute in each group.",,,,,,,,,,,,,,,,,,,,,,,,,,,,MESH:D016022,,,,,,,,,,,,,,,,,,,,,MeSH,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Outpatient,Outpatient,,A patient who comes to a healthcare facility for diagnosis or treatment but is not admitted for an overnight stay.,false,,,http://purl.org/net/miCLIP#MedicalStatus|http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Patient,,,,,A patient who comes to a healthcare facility for diagnosis or treatment but is not admitted for an overnight stay.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:Outpatient,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34440,Bulimia,,"A disorder characterized by recurrent episodes of binge-eating over which the individual feels a lack of control; these episodes of binge-eating are followed by recurrent compensatory behavior to prevent weight gain, usually self-induced vomiting. In addition, self-evaluation is unduly influenced by body image.",false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89332,,,,,"A disorder characterized by recurrent episodes of binge-eating over which the individual feels a lack of control; these episodes of binge-eating are followed by recurrent compensatory behavior to prevent weight gain, usually self-induced vomiting. In addition, self-evaluation is unduly influenced by body image.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:C34440,,,,,,,,,,,,,,,,,,,,,NCI Thesaurus,,,,,,,,,,,,,,
http://purl.org/net/miCLIP#AuthorOfMeasureOrScale,Author of Measure or Scale,,,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip:AuthorOfMeasureOrScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.w3.org/2002/07/owl#Thing,Thing,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,owl:Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Financial,Financial,,Concerning or related to monetary conditions.,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Qualifier,,,,,Concerning or related to monetary conditions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:Financial,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62187,Embarrassment,,"An unpleasant emotional state experienced upon having an inadequacy, guilt, or socially unacceptable act or trait witnessed by or revealed to others.",false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Emotion,,,,,"An unpleasant emotional state experienced upon having an inadequacy, guilt, or socially unacceptable act or trait witnessed by or revealed to others.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:C62187,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2875,Anorexia,,A disorder characterized by a loss of appetite.,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C89332,,,,,A disorder characterized by a loss of appetite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:C2875,,,,,,,,,,,,,,,,,,,,,NCI Thesaurus,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53190,Sample Size,,"1. A subset of a larger population, selected for investigation to draw conclusions or make estimates about the larger population. 2. The number of subjects in a clinical trial. 3. Number of subjects required for primary analysis.CDISC",false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71559,,,,,"1. A subset of a larger population, selected for investigation to draw conclusions or make estimates about the larger population. 2. The number of subjects in a clinical trial. 3. Number of subjects required for primary analysis.CDISC",,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:C53190,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://purl.org/net/miCLIP#MarineMember,Marine Member,,person who is part of the marine corps,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Person,,,,,person who is part of the marine corps,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip:MarineMember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/miCLIP#SuicidalPlans,Suicidal Plans,,,false,,,http://purl.org/net/miCLIP#SuicidalThoughts,Planning suicide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip:SuicidalPlans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/miCLIP#DepartmentOfTheNavy,Department of the Navy,,"The executive part of the Department of the Navy at the seat of government; the headquarters, US Marine Corps; the entire operating forces of the United States Navy and of the US Marine Corps, including the Reserve Components of such forces; all field activities, headquarters, forces, bases, installations, activities, and functions under the control or supervision of the Secretary of the Navy; and the US Coast Guard when operating as a part of the Navy pursuant to law.",false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Department_of_Defense,DON,,,,"The executive part of the Department of the Navy at the seat of government; the headquarters, US Marine Corps; the entire operating forces of the United States Navy and of the US Marine Corps, including the Reserve Components of such forces; all field activities, headquarters, forces, bases, installations, activities, and functions under the control or supervision of the Secretary of the Navy; and the US Coast Guard when operating as a part of the Navy pursuant to law.",,http://www.thefreedictionary.com/Department+of+the+Navy,,,,,,,,,,,,,,,,,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Department_of_Defense,clip:DepartmentOfTheNavy,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Department_of_Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.bioontology.org/ontology/SNOMEDCT/14679004,Occupation,,,false,,,http://purl.bioontology.org/ontology/SNOMEDCT/48176007,"Occupations
Job
Occupation (occupation)
Profession
Job, NOS
Occupation, NOS
Profession, NOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNOMED Clinical Terms,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Insomnia,Insomnia,,A sleep disorder characterized by difficulty in falling asleep and/or remaining asleep.,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sleep_Disorder,,,,,A sleep disorder characterized by difficulty in falling asleep and/or remaining asleep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:Insomnia,,,,,,,,,,,,,,,,,,,,,NCI  thesaurus,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26835,Nervous System Disorder,,"A non-neoplastic or neoplastic disorder that affects the brain, spinal cord or peripheral nerves.",false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27551,"Neurologic Disorder
Disorder of Nervous System",,,,"A non-neoplastic or neoplastic disorder that affects the brain, spinal cord or peripheral nerves.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:C26835,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://purl.org/net/miCLIP#PainfulAndProvocativeEventsScale,Painful and Provocative Events Scale,,"The PPE is a 26-item self-report measure that assesses the number of times participants have experienced a range of painful and/or provocative experiences throughout their lifetime (e.g., Have you participated in contact sports? Have you been a victim of physical abuse?).",false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Symptom_Specific_Assessment_Tool,PPE,,,,"The PPE is a 26-item self-report measure that assesses the number of times participants have experienced a range of painful and/or provocative experiences throughout their lifetime (e.g., Have you participated in contact sports? Have you been a victim of physical abuse?).",,"Anestis & Joiner, 2012",,,,,,,,,,,,,,,,,,,,,,,,,,clip:PainfulAndProvocativeEventsScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sign_or_Symptom,Sign or Symptom,,Objective evidence of disease perceptible to the examining practitioner (sign) and subjective evidence of disease perceived by the patient (symptom).,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Finding,"Clinical Finding
DESC
Signs or Symptoms
CLINICAL SIGNS",,,,Objective evidence of disease perceptible to the examining practitioner (sign) and subjective evidence of disease perceived by the patient (symptom).,,"CDISC
NICHD",,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:Sign_or_Symptom,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53228,Statistical Test,,A test used to determine the statistical significance of an observation.,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19044,"Statistical Hypothesis Test
Hypothesis Test",,,,A test used to determine the statistical significance of an observation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:C53228,,,,,,,,,,,,,,,,,,,,,NCI tesaurus,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Population_Group,Population Group,,"A group of individuals united by a common factor (e.g., geographic location, ethnicity, disease, age, gender)",false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Group,"Group
Population
Subpopulation",,,,"A group of individuals united by a common factor (e.g., geographic location, ethnicity, disease, age, gender)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:Population_Group,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://purl.bioontology.org/ontology/MESH/D036262,Empirical Research,,"The study, based on direct observation, use of statistical records, interviews, or experimental methods, of actual practices or the actual impact of practices or policies.",false,,,http://purl.bioontology.org/ontology/MESH/D012106,"Research, Empirical",,,,"The study, based on direct observation, use of statistical records, interviews, or experimental methods, of actual practices or the actual impact of practices or policies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,MESH:D036262,,,,,,,,,,,,,,,,,,,,,MeSH,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Hopelessness,hopelessness,,The despair you feel when you have abandoned hope of comfort or success.,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Emotion,"Feeling of Hopelessness
Hopeless",,,,The despair you feel when you have abandoned hope of comfort or success.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:Hopelessness,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mood_Disorder,Mood Disorder,,A category of psychiatric disorders which have as their most predominant feature a disturbance in mood.,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Psychiatric_Disorder,,,,,A category of psychiatric disorders which have as their most predominant feature a disturbance in mood.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:Mood_Disorder,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://purl.org/net/miCLIP#InadequateFinances,Inadequate Finances,,,false,,,http://purl.org/net/miCLIP#AdequacyOfIncome,Income insufficient to meet needs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clip:InadequateFinances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/net/miCLIP#DepressionSymptomIndex-SuicidalitySubscale,Depression Symptom Index-Suicidality Subscale,,,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Symptom_Specific_Assessment_Tool,DSI-SS,,,,,,"Metalsky & Joiner, 1997",,,,,,,,,,,,,,,,,,,,,,,,,,clip:DepressionSymptomIndex-SuicidalitySubscale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16847,Technique,,A practiced and regimented skill or series of actions.,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Activity,"Methods
Method
Technical
Methods, Other
Techniques
Methods and Techniques",,,,A practiced and regimented skill or series of actions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:C16847,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://purl.org/net/miCLIP#DisenfranchisedGrief,Disenfranchised Grief,,Disenfranchised grief is a term describing grief that is not acknowledged by society.,false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C849916,,,,,Disenfranchised grief is a term describing grief that is not acknowledged by society.,,http://en.wikipedia.org/wiki/Disenfranchised_grief,,,,"Examples of events leading to disenfranchised grief are the loss of a pet, an aborted/miscarried pregnancy, a mother's loss or surrender of a child to adoption, the death of a celebrity, etc.",,,,,,,,,,,,,,,,,,,,,,clip:DisenfranchisedGrief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Alcohol_Abuse,Alcohol Abuse,,"The use of alcoholic beverages to excess, either on individual occasions (""binge drinking"") or as a regular practice.",false,,,http://purl.bioontology.org/ontology/CRISP/2821-5000,alcohol misuse,,,,"The use of alcoholic beverages to excess, either on individual occasions (""binge drinking"") or as a regular practice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:Alcohol_Abuse,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48918,Variance,,"A measure of the variability in a sample or population. It is calculated as the mean squared deviation (MSD) of the individual values from their common mean. In calculating the MSD, the divisor n is commonly used for a population variance and the divisor n-1 for a sample variance.",false,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19044,,,,,"A measure of the variability in a sample or population. It is calculated as the mean squared deviation (MSD) of the individual values from their common mean. In calculating the MSD, the divisor n is commonly used for a population variance and the divisor n-1 for a sample variance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,Thesaurus:C48918,,,,,,,,,,,,,,,,,,,,,NCI thesaurus,,,,,,,,,,,,,,
