Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,Alt name,http://purl.obolibrary.org/obo/IAO_0000119#formal_citation
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Absorption_(Physiological),Absorption (Physiological),,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Abstraction,Abstraction,,"Process of selecting or isolating a certain
conceptual aspect from a concrete whole.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Abuse_of_Power,Abuse of Power,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Abuse_Reporting,Abuse Reporting,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Academic_Achievement,Academic Achievement,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Scholastic Achievement|School Achievement|Gradepoint Average,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Academic_Achievement_Motivation,Academic Achievement Motivation,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Academic_Achievement_Prediction,Academic Achievement Prediction,,"Prediction of future academic achievement based on
results of tests, inventories, or other measures.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Academic_Aptitude,Academic Aptitude,,"Potential ability to perform or achieve in
scholastic pursuits.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Aptitude (Academic)|Scholastic Aptitude,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Academic_Environment,Academic Environment,,"Physical setting or emotional climate where formal
instruction takes place.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Academic_Failure,Academic Failure,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Academic_Overachievement,Academic Overachievement,,"Academic achievement greater than that anticipated
on basis of one's scholastic aptitude score or
individual intelligence.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Overachievement (Academic),"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Academic_Self_Concept,Academic Self Concept,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Academic_Specialization,Academic Specialization,,"Concentration of effort or interest in a special
area of knowledge or discipline at an institution
of learning.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,College Major|Specialization (Academic),"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Academic_Underachievement,Academic Underachievement,,"Academic achievement less than that expected based
on one's scholastic aptitude score or individual
intelligence.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Underachievement (Academic),"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acalculia,Acalculia,,"Form of aphasia involving impaired ability to
perform simple arithmetic calculations.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Dyscalculia,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acamprosate,Acamprosate,,Drug used for treating alcohol dependence by stabilizing chemicals in the brain that would usually be disrupted by alcoholism.,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acceleration_Effects,Acceleration Effects,,"Behavioral, physiological, or psychological
effects resulting from acceleration onset/offset
or the effects of changes in acceleration rate.
Used for both human and animal populations.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acceptance_and_Commitment_Therapy,Acceptance and Commitment Therapy,,"Form of cognitive behavior therapy that helps clients to abandon ineffective control strategies, to accept difficult thoughts and feelings without taking them to be literally true, and to take actions in accordance with their own values and goals.  The therapy is based on the premise that ineffective strategies to control thoughts and feelings actually lead to problem behaviors.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,ACT,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Accident_Prevention,Accident Prevention,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Accident_Proneness,Accident Proneness,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Accidents,Accidents,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Accommodation_(Cognitive_Process),Accommodation (Cognitive Process),,The adjustment of mental schemas to match information acquired through experience. Consider also OCULAR ACCOMMODATION.,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Accommodation_(Disabilities),Accommodation (Disabilities),,Adjustment or modification of the environment or a task in order to meet the needs of individuals with disabilities. Consider also OCULAR ACCOMMODATION.,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Accountability,Accountability,,"Liability and/or responsibility for specified
results or outcomes of an activity over which one
has authority.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Accountants,Accountants,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Certified Public Accountants,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Accreditation_(Education_Personnel),Accreditation (Education Personnel),,"Professional licensing or certification of
teachers, school psychologists, or other
educational personnel, usually required for
employment.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Teacher Accreditation,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acculturation,Acculturation,,"Contact of at least two autonomous cultural groups
resulting in change in one or the other, or both
groups. Includes the process of a minority group
giving up its own cultural traits and absorbing
those of a dominant society.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Assimilation (Cultural)|Cultural Assimilation,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acetaldehyde,Acetaldehyde,,"First oxidation product of primary alcohol
metabolism. Acetaldehyde has narcotic properties.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Ethanal|Acetic Aldehyde|Ethylaldehyde,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acetazolamide,Acetazolamide,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acetylcholine,Acetylcholine,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acetylcholinesterase,Acetylcholinesterase,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Achievement,Achievement,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Attainment (Achievement)|Accomplishment|Success,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Achievement_Measures,Achievement Measures,,"Tests designed to measure knowledge and/or skills
acquired from learning, experience, or training.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Tests (Achievement),"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Achievement_Motivation,Achievement Motivation,,"Need that drives an individual to improve,
succeed, or excel.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,NAch|Need Achievement,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Achievement_Potential,Achievement Potential,,"One's general ability to achieve in any area,
including academic.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Potential (Achievement),"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Achilles_Tendon_Reflex,Achilles Tendon Reflex,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Achromatic_Color,Achromatic Color,,"Visual quality which lacks hue and saturation,
consequently varying only in brilliance. Includes
variations from black through gray to white.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acids,Acids,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acoustic_Nerve,Acoustic Nerve,,"Cranial nerve composed of cochlear and vestibular nerves
which connects the inner ear hair cells to the brain. It
transmits information on hearing and balance.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Nerve (Acoustic)|Auditory Nerve|Vestibulocochlear Nerve|Cochlear Nerve,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acoustic_Reflex,Acoustic Reflex,,"Bilateral contraction of stapedius muscles when a
loud sound is presented.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Intra Aural Muscle Reflex|Stapedius Reflex,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acoustics,Acoustics,,"Structural properties of auditorially perceived
stimuli or sounds.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acquaintance_Rape,Acquaintance Rape,,"Rape perpetrated by a person or persons known to
the victim.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acrophobia,Acrophobia,,Fear of heights.,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acting_Out,Acting Out,,"Behavioral manifestation of those impulses and
desires that are unacceptable or irreconcilable
with an individual's conscience. When such
behavior becomes maladaptive, socially or
personally, it is classified as an acting out
disorder.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Action_Potentials,Action Potentials,,"The change in electric potential that propagates along a cell during the transmission of a nerve impulse or the contraction of a muscle. It is marked by a rapid, transient depolarization of the cell's plasma membrane, from a resting potential of about -70mV (inside negative) to about +30mV (inside positive), and back again, after a slight hyperpolarization, to the resting potential. Each action potential takes just a few milliseconds.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Action_Research,Action Research,,"Study or research that is directed toward a practical goal, usually an improvement in a particular process or system, in contrast to purely experimental research.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Participatory Action Research,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Active_Listening,Active Listening,,"Psychotherapeutic technique in which the therapist listens closely to a client, asking questions as needed, in an attempt to fully understand the content of the message and the depth of the client's emotion.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Active_Living,Active Living,,"Integration of physical activity into daily life by focusing on the built environment, including neighborhoods, transportation systems, buildings, parks, and open spaces.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Activism,Activism,,"Doctrines or practices emphasizing direct action
(usually political) in support of or opposition to
one side of a controversial issue.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Activist Movements,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Activities_of_Daily_Living,Activities of Daily Living,,"Basic personal care skills such as eating,
bathing, dressing, and other personal hygenic
skills used to measure functional ability in the
elderly and the emotionally and physically
disabled. Compare DAILY ACTIVITIES.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Activity_Level,Activity Level,,"General energetic state of an organism, frequently
used as a measure of drug effects but not
restricted to this application.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Activity_Theory,Activity Theory,,"Theory formulated by early 20th century Russian
psychologists analyzing behavior based on an
individual's activity in or interaction with his
or her environment.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acupuncture,Acupuncture,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acute_Alcoholic_Intoxication,Acute Alcoholic Intoxication,,"Temporary mental disturbance marked by muscle
incoordination and paresis as the result of
excessive alcohol ingestion.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acute_Psychosis,Acute Psychosis,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Brief Reactive Psychosis|Psychotic Episode (Acute)|Acute Psychotic Episode,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acute_Schizophrenia,Acute Schizophrenia,,"An episode of schizophrenia that is marked by sudden onset
and short duration.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Acute_Stress_Disorder,Acute Stress Disorder,,"Disorder characterized by the development of
anxiety and dissociative symptoms as a result of
exposure to a traumatic event. Symptoms last at
least two days and no longer than four weeks.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Adaptability_(Personality),Adaptability (Personality),,"Ability to be flexible and to maximize functioning
in the face of environmental changes. See
ADJUSTMENT for terms relating to the process of
adapting.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Flexibility (Personality),"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Adaptation,Adaptation,,"Physiological or biological modification of an
organism or its morphology in response to the
physical environment. For psychological, social,
or emotional adaptation, use ADJUSTMENT or one of
its narrower or related terms.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Readaptation,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Adaptive_Behavior,Adaptive Behavior,,"Behaviors indicating ability to take care of
personal needs, function socially, and control
problem behavior. Primarily used for disabled or
disordered populations.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Adaptive_Testing,Adaptive Testing,,"Testing method, usually using a computer, in which
test items of varying difficulty levels are
selected according to the degree to which the
examinee's previous answers were correct.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Computer Adaptive Testing|Tailored Testing,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Addiction,Addiction,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Addisons_Disease,Addisons Disease,,"A progressive disorder characterized by a deficiency of
adrenal hormones. Symptoms include but are not limited to,
weakness, fatigue, loss of weight, and nausea.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Adenosine,Adenosine,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Adenylyl_Cyclase,Adenylyl Cyclase,,"An enzyme that catalyzes the conversion of ATP (adenosine triphosphate) to Cyclic AMP, which functions as a second messenger in signaling pathways within cells.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Adenyl Cyclase|Adenylate Cyclase,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Adipocytes,Adipocytes,,"Cells that form adipose tissue and are specialized for the synthesis and storage of triglycerides, the form in which most fat is stored in the body.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Fat Cells|Lipocytes,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Adjectives,Adjectives,,,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Adjudication,Adjudication,,Process of judicial decision making.,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Adjunctive_Behavior,Adjunctive Behavior,,"Noncontingent appropriate or inappropriate
behavior that is maintained by an event which
acquires its reinforcing characteristics as the
result of some other ongoing reinforcement
contingency.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Adjunctive_Treatment,Adjunctive Treatment,,One or more secondary interventions used concurrently with a primary intervention to enhance treatment effectiveness.,FALSE,,,http://www.w3.org/2002/07/owl#Thing,,Adjunctive Therapy,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Adjustment,Adjustment,,"Conceptually broad term referring to a state of
harmony between internal needs and external
demands and the processes used in achieving this
condition. Use a more specific term if possible.
Differentiate from ADAPTATION, which refers to
physiological or biological adaptation.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Adjustment_Disorders,Adjustment Disorders,,"Maladaptive reaction to psychosocial stressors
which impairs social or occupational functioning.
Usually a temporary condition that remits after
new levels of adaptation are obtained or stressors
have been removed.",FALSE,,,http://www.w3.org/2002/07/owl#Thing,,,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
